cím;műfaj;fejlesztő;év;ár;értékelés
The Witcher 3;RPG;CD Projekt Red;2015;4990;10
Minecraft;sandbox;Mojang;2011;9990;9
Counter-Strike 2;FPS;Valve;2023;0;8
Stardew Valley;szimulátor;ConcernedApe;2016;3990;10
Portal 2;puzzle;Valve;2011;1990;10
Cyberpunk 2077;RPG;CD Projekt Red;2020;14990;8
Hollow Knight;platformer;Team Cherry;2017;2490;9
Terraria;sandbox;Re-Logic;2011;1490;9
Hades;roguelike;Supergiant Games;2020;5990;10
Among Us;stratégia;InnerSloth;2018;990;7
Red Dead Redemption 2;akció;Rockstar Games;2019;19990;10
Disco Elysium;RPG;ZA/UM;2019;7990;9
Celeste;platformer;Maddy Makes Games;2018;2990;10
Half-Life 2;FPS;Valve;2004;1990;10
Factorio;stratégia;Wube Software;2020;9990;9
Sekiro;akció;FromSoftware;2019;12990;9
Dota 2;stratégia;Valve;2013;0;7
Cuphead;platformer;Studio MDHR;2017;4490;9
Subnautica;kaland;Unknown Worlds;2018;6990;9
Vampire Survivors;roguelike;poncle;2022;1490;8
